cell_id,min,max,std,z_range
acncicep-1,19.439732,27.98511,1.526685056685559,8.545378
acncjpal-1,18.82155,29.188309,1.5085843791464162,10.366759000000002
acnconbh-1,19.640982,24.82321,1.1723190153923158,5.1822279999999985
acnhdnia-1,19.905895,24.90755,1.2877042364843962,5.0016549999999995
acnjobeg-1,20.687382,27.526632,1.6848396526589244,6.83925
acnkhbkn-1,20.53129,26.498007,1.4259803394178094,5.966717000000003
acobcnji-1,20.636705,25.460236,1.2380794774250383,4.823530999999999
acodhifg-1,19.431244,28.519531,1.8463378988982182,9.088287000000001
acogmpgc-1,20.159767,27.557045,1.4653840658831532,7.397278
acoicgim-1,19.556126,29.303484,1.9331789734864615,9.747358000000002
acojmhgk-1,14.750194,24.745153,1.352155594863666,9.994958999999998
aconamdi-1,15.193561,21.369589,1.2626881329679223,6.1760280000000005
acpaejih-1,15.267649,23.775192,1.2930101835519687,8.507543
acpdbhka-1,15.306166,23.299858,1.2159560441686188,7.993692000000001
acphadje-1,14.848045,21.330706,1.5031228908257788,6.4826609999999985
acphdjmp-1,14.940935,22.670639,1.4636997607088686,7.729704000000002
acpjgmlj-1,15.20946,19.583815,1.0519369555409341,4.374355000000001
acpjlbgk-1,14.972593,20.68753,1.269919138613212,5.714936999999999
acplbgom-1,15.094576,21.54331,1.045091578523309,6.448734000000002
acppigeg-1,15.016062,22.102633,1.2678997502512879,7.086571000000001
adadloel-1,15.056422,21.871237,1.6178160313641907,6.814815000000001
adafhbfn-1,15.060305,19.911644,1.2676941305138598,4.851338999999999
adagihil-1,15.220019,21.351667,1.4579934463802624,6.131647999999998
adaigbmd-1,15.430587,19.554081,1.1033900075045975,4.123494000000001
adakcpkp-1,15.116017,19.094784,1.0144267321324036,3.9787670000000013
adankapd-1,15.995199,19.425068,0.8720457196148402,3.429869
adappbaf-1,15.280724,20.289017,1.181326287068657,5.008293000000002
adbajilk-1,15.256856,19.629793,1.047924214558356,4.3729369999999985
adbbcgea-1,15.366365,20.865986,1.3714429076600196,5.499620999999999
adbchlkc-1,15.148443,22.175032,1.4013209323807267,7.026589000000001
adbcipjj-1,15.239268,20.851576,1.2269751905642095,5.612308000000002
adbddgap-1,14.93765,21.37676,1.4799722585762949,6.439110000000001
adbfiaeb-1,15.030844,20.192379,1.1996884369469434,5.161534999999999
adbflpjl-1,14.074957,18.856537,1.1565201786066632,4.78158
adbghpdp-1,14.167191,19.263271,1.309248092824312,5.096079999999999
adbjholg-1,15.109336,19.866428,1.0429889073911338,4.757091999999998
adbkljej-1,16.664127,20.931562,1.1453046912003255,4.267434999999999
adbldbcc-1,16.36758,23.689787,1.5045651559997808,7.322206999999999
adblimec-1,16.30485,21.261286,1.1496492086361056,4.956436
adcahpin-1,16.406384,21.3252,1.0551462453601885,4.918816
adcclglj-1,16.336857,24.478806,1.4406772429558645,8.141949
adcddkko-1,16.561235,21.389212,1.0715573518717332,4.827977000000001
adcdegcj-1,15.599395,21.117432,1.3348307825801606,5.518037000000001
adcdklkb-1,15.582643,22.448221,1.6374951249788903,6.865578000000001
adceadjn-1,16.679605,23.789589,1.747170543443735,7.109984000000001
adcfkkhd-1,16.477453,22.00917,1.3791712435122123,5.531717
adchkimn-1,16.361004,21.60136,1.3126742196644283,5.2403559999999985
adchogcm-1,16.299515,22.323517,1.3784459469933283,6.024001999999999
adcilacl-1,16.183258,24.22627,1.2765248758811822,8.043012000000001
adckebmp-1,16.096533,25.412619,1.478383710408671,9.316085999999999
adcmohnc-1,16.107,20.827335,1.1759542418066724,4.720335000000002
adcokcga-1,15.927579,23.888643,1.2822454091558577,7.961063999999999
adcokkfe-1,16.6749,19.98783,1.0009553268302025,3.312929999999998
addccoll-1,16.173828,20.6944,1.093704235509632,4.520572000000001
adddeikp-1,16.168472,21.999222,1.1287765934603213,5.830749999999998
